,followers_count,in_reply_to_screen_name,created_at,text,likes,location,author,_id,retweet_count,type
4734,589,N/A,2020-03-01 06:01:30,"b'RT @sabastianyuven: Mallam Danjuma alias DG, who granted an interview to the UN humanitarian persons about the Ngarbuh massacre in #Souther\xe2\x80\xa6'",0,Global citizen ,YvonneMor1,1233995758447230977,36,Retweet
4735,5861,N/A,2020-03-01 06:01:22,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,St. Louis,aobenson,1233995728852258817,172,Retweet
4736,2221,N/A,2020-03-01 05:58:20,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,Africa 🌍,ElRapido124,1233994965375750144,172,Retweet
4737,226,N/A,2020-03-01 05:57:03,"b'RT @apeterbruce: #FoulPlay\nKey eyewitness of de #Ngarbuh @massacre on @VDay 2020in #Ambazonia,Mallam Danjuma has been killed by BIRs.\n#Mean\xe2\x80\xa6'",0,,EvaristusAjefu,1233994640774307840,52,Retweet
4738,715,N/A,2020-03-01 05:54:31,"b'RT @sndwky: Cameroon: Witness found dead - Mallam Danjuma, one of the main persons who informed the UN and Human Rights Watch on the Ngarbu\xe2\x80\xa6'",0,Horn of Africa Region & beyond,HRnewsAgency,1233994002556424193,3,Retweet
4739,178,N/A,2020-03-01 05:53:13,b'RT @PatrickNjwoman: Dear @FLOTUS women and children confronting a #genocide in English Speaking Southern #Cameroons appeal to have your voi\xe2\x80\xa6',0,,Teroctn,1233993676252041216,37,Retweet
4740,1,N/A,2020-03-01 05:51:49,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,,RapidoToons,1233993323301539840,201,Retweet
4741,2221,N/A,2020-03-01 05:50:27,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,Africa 🌍,ElRapido124,1233992977711878144,201,Retweet
4742,9,N/A,2020-03-01 05:40:28,b'RT @innochia: For how much longer do we endure the mayhem from the beastial regime of #genocidairePaulBiya? For those who think they are ex\xe2\x80\xa6',0,United States,JFonkenmun,1233990467974463488,44,Retweet
4743,43,N/A,2020-03-01 05:36:28,"b'RT @apeterbruce: After #Ngarbuh on @VDAY, its now #Babanki on #LeapYearDay.\nWhen shall the @USgov evoke the Elie Wiesel Genocide and Atroci\xe2\x80\xa6'",0,,NjangOmbel,1233989462461427715,61,Retweet
4744,95,N/A,2020-03-01 05:36:08,"b'RT @NEBANATHAN: To hide evidence, @PR_Paul_BIYA begins killing survivors of Ngarbuh massacre in #SouthernCameroons who testified to the med\xe2\x80\xa6'",0,,JuliusAmbe,1233989376557932545,17,Retweet
4745,751,N/A,2020-03-01 05:33:59,"b'RT @CMRNewsAgency: #Cameroon Soldiers have on Mon. Feb 24, 2020, arrested and kept incommunicado Mallam Danjuma, a man from Ntumbaw, Donga\xe2\x80\xa6'",0,My House,Dezi_4evaYoung,1233988835480043520,177,Retweet
4746,43,N/A,2020-03-01 05:33:04,"b'RT @lilyambas: From NGARBUH TO BABANKI. \nPreliminary data speaks of 10 deaths (5 women, 5 men including a 7 year old child. @UN_PGA @KarenP\xe2\x80\xa6'",0,,NjangOmbel,1233988605682556930,12,Retweet
4747,2440,N/A,2020-03-01 05:31:46,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,#Amerikkka ,RobertR41182121,1233988276731576321,201,Retweet
